Date,Close,High,Low,Open,Volume,Returns,MA7,MA30,MA50,MA200,Volatility
2022-12-21,16817.53515625,16916.80078125,16755.912109375,16904.52734375,14882945045,-0.005250676176186131,16818.41964285714,16893.514127604165,17313.5603515625,20311.253896484373,0.018264518890669962
2022-12-22,16830.341796875,16866.673828125,16592.408203125,16818.380859375,16441573050,0.0007615052090579333,16742.059151785714,16914.866536458332,17246.977109375,20245.872294921875,0.017730462251992634
2022-12-23,16796.953125,16905.21875,16794.458984375,16829.64453125,15329265213,-0.001983838015767403,16763.41183035714,16921.074739583335,17178.71640625,20173.003701171874,0.017119701483295658
2022-12-24,16847.755859375,16864.703125,16793.52734375,16796.9765625,9744636213,0.003024520816182319,16770.93526785714,16929.184440104167,17092.7269140625,20101.465087890625,0.01712487052508509
2022-12-25,16841.986328125,16860.5546875,16755.25390625,16847.505859375,11656379938,-0.000342451024228807,16782.936662946428,16939.855924479165,17003.9128125,20034.6032421875,0.0170934682139777
2022-12-26,16919.8046875,16920.123046875,16812.369140625,16842.25,11886957804,0.004620497716771643,16851.525948660714,16955.0400390625,16923.7791796875,19968.642275390626,0.01708778710350166
2022-12-27,16717.173828125,16959.845703125,16642.072265625,16919.291015625,15748580239,-0.011975957353969946,16824.507254464286,16964.124934895834,16846.066328125,19906.80912109375,0.01724925261748533
2022-12-28,16552.572265625,16768.169921875,16497.556640625,16716.400390625,17005713920,-0.009846255365429935,16786.655412946428,16975.299934895833,16806.29234375,19847.7679296875,0.01714887024204713
2022-12-29,16642.341796875,16651.755859375,16508.68359375,16552.322265625,14472237479,0.0054232979508825885,16759.798270089286,16981.878580729168,16821.52357421875,19797.166396484376,0.016991372319709406
2022-12-30,16602.5859375,16643.427734375,16408.474609375,16641.330078125,15929162910,-0.002388838052975517,16732.03152901786,16963.012565104167,16801.83986328125,19767.7423828125,0.014879105313228152
2022-12-31,16547.49609375,16628.986328125,16517.51953125,16603.673828125,11239186456,-0.0033181483870876605,16689.137276785714,16949.024674479166,16792.10392578125,19739.4458984375,0.014748733138739999
2023-01-01,16625.080078125,16630.439453125,16521.234375,16547.9140625,9244361700,0.0046885633896178724,16658.15066964286,16933.572005208334,16788.62181640625,19709.707099609375,0.014709952629861864
2023-01-02,16688.470703125,16759.34375,16572.228515625,16625.509765625,12097775227,0.0038129515588565255,16625.102957589286,16926.246484375,16795.32392578125,19691.241201171873,0.014615301230072653
2023-01-03,16679.857421875,16760.447265625,16622.37109375,16688.84765625,13903079207,-0.000516121662866742,16619.772042410714,16911.225520833334,16796.55708984375,19672.283076171876,0.014392034187840805
2023-01-04,16863.23828125,16964.5859375,16667.763671875,16680.205078125,18421743322,0.010994150293785143,16664.152901785714,16907.505924479166,16796.12958984375,19661.5110546875,0.014459563912381346
2023-01-05,16836.736328125,16884.021484375,16790.283203125,16863.47265625,13692758566,-0.0015715814888571655,16691.92354910714,16899.080338541666,16799.47552734375,19642.92837890625,0.014402868272329101
2023-01-06,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913,0.006844106816741524,16741.835379464286,16902.541731770834,16804.76455078125,19624.690537109374,0.014221323699566257
2023-01-07,16955.078125,16975.017578125,16914.19140625,16952.1171875,7714767174,0.00018342264818071996,16800.061383928572,16893.261848958333,16809.91056640625,19605.912939453126,0.013568007340493132
2023-01-08,17091.14453125,17091.14453125,16924.05078125,16954.146484375,9768827914,0.008025112314249405,16866.642020089286,16891.861588541666,16817.50251953125,19591.433515625,0.013614536662927456
2023-01-09,17196.5546875,17389.95703125,17093.9921875,17093.9921875,18624736866,0.006167530562816603,16939.225446428572,16894.122591145835,16835.59697265625,19571.986904296875,0.01366066952671749
2023-01-10,17446.29296875,17484.720703125,17162.990234375,17192.94921875,15808338949,0.014522576515372032,17048.716238839286,16905.525911458335,16868.7771484375,19553.060087890626,0.013902463423213591
2023-01-11,17934.896484375,17934.896484375,17337.994140625,17446.359375,18372283782,0.02800615102017323,17201.81026785714,16929.807877604166,16903.6796875,19535.222880859375,0.014744122223924155
2023-01-12,18869.587890625,19030.087890625,17995.203125,18117.59375,34971338710,0.052115795988246116,17492.217633928572,16966.083528645835,16948.8573046875,19524.434345703125,0.016438719290268532
2023-01-13,19909.57421875,19964.322265625,18753.1640625,18868.90625,29225029694,0.05511441660269112,17914.73270089286,17035.880989583333,17014.9594921875,19520.30482421875,0.019074858061275714
2023-01-14,20976.298828125,21075.142578125,19907.828125,19910.537109375,38967784639,0.05357847423830919,18489.192801339286,17156.262109375,17104.0486328125,19523.78314453125,0.02030950291424961
2023-01-15,20880.798828125,20993.748046875,20606.986328125,20977.484375,19298407543,-0.004552757413617381,19030.57198660714,17297.372591145835,17192.378984375,19527.667021484376,0.018337710115329506
2023-01-16,21169.6328125,21360.875,20715.74609375,20882.224609375,26792494050,0.013832516023570829,19598.15457589286,17443.190625,17286.8791015625,19534.591552734375,0.018370618994973692
2023-01-17,21161.51953125,21438.66015625,20978.533203125,21175.833984375,24999983362,-0.00038325091993141047,20128.901227678572,17589.975390625,17385.763046875,19544.052314453125,0.01833893791211
2023-01-18,20688.78125,21564.501953125,20541.544921875,21161.05078125,30005625418,-0.022339524368838015,20522.313337053572,17731.612109375,17470.6390234375,19551.28494140625,0.01851784334757974
2023-01-19,21086.79296875,21163.01171875,20685.380859375,20686.74609375,21152848261,0.019238045679950355,20839.05691964286,17870.96171875,17549.0035546875,19560.233525390624,0.018241422967648833
2023-01-20,22676.552734375,22692.357421875,20919.126953125,21085.373046875,28799154319,0.07539125404137925,21234.33956473214,18066.2623046875,17663.191953125,19572.45998046875,0.02187080272328725
2023-01-21,22777.625,23282.34765625,22511.833984375,22677.427734375,32442278429,0.004457126566322689,21491.671875,18264.505078125,17776.97125,19585.397529296875,0.02182595026157878
2023-01-22,22720.416015625,23056.73046875,22387.900390625,22777.986328125,24746386230,-0.002511630794474806,21754.47433035714,18461.953841145834,17893.21484375,19596.25837890625,0.021836454069253147
2023-01-23,22934.431640625,23126.486328125,22654.3046875,22721.087890625,26518700512,0.009419529327844067,22006.588448660714,18664.843033854166,18009.29375,19602.74259765625,0.02179371850070857
2023-01-24,22636.46875,23134.01171875,22549.744140625,22929.626953125,26405069715,-0.012991945703908492,22217.295479910714,18857.992447916666,18122.5266015625,19607.26935546875,0.022131598773024886
2023-01-25,23117.859375,23722.099609375,22406.076171875,22639.267578125,30685366709,0.021266153759075257,22564.306640625,19064.594270833335,18243.0937109375,19614.8976171875,0.02219715019481251
2023-01-26,23032.77734375,23237.078125,22911.373046875,23108.955078125,26357839322,-0.003680359408276712,22842.30440848214,19275.114388020833,18366.78671875,19625.7592578125,0.021955414649060916
2023-01-27,23078.728515625,23417.720703125,22654.59375,23030.716796875,25383335641,0.0019950339114214177,22899.75809151786,19492.6529296875,18483.691796875,19641.3001171875,0.021672977395775922
2023-01-28,23031.08984375,23165.896484375,22908.845703125,23079.96484375,14712928379,-0.0020641809553220147,22935.967354910714,19705.611197916667,18601.650546875,19659.83599609375,0.021786524617418663
2023-01-29,23774.56640625,23919.890625,22985.0703125,23031.44921875,27423687259,0.03228143207915801,23086.56026785714,19944.677213541665,18734.5673828125,19677.64845703125,0.02196454070556142
2023-01-30,22840.138671875,23789.34765625,22657.58203125,23774.6484375,27205595568,-0.03930367092328346,23073.08984375,20154.431966145832,18849.2862890625,19688.99955078125,0.023754672874803894
